epoch,metrics/h_mean,metrics/p_exp,metrics/p_opt,metrics/train_loss,metrics/val_loss,step
0,,,,0.08097656071186066,,0
0,,,,0.08437500149011612,,1
0,,,,0.07898437231779099,,2
0,,,,0.06446289271116257,,3
0,,,,0.09040039032697678,,4
0,,,,0.08014648407697678,,5
0,,,,0.061279296875,,6
0,,,,0.0961621105670929,,7
0,0.3834453821182251,0.31923043727874756,0.47999998927116394,,0.09569335728883743,7
1,,,,0.07172851264476776,,8
1,,,,0.08160156011581421,,9
1,,,,0.0815136730670929,,10
1,,,,0.08310546725988388,,11
1,,,,0.0719921886920929,,12
1,,,,0.07761719077825546,,13
1,,,,0.068603515625,,14
1,,,,0.06745117157697678,,15
1,0.44308575987815857,0.34472113847732544,0.6200000047683716,,0.09136718511581421,15
2,,,,0.06664062291383743,,16
2,,,,0.07755859196186066,,17
2,,,,0.06560546904802322,,18
2,,,,0.07398437708616257,,19
2,,,,0.061455078423023224,,20
2,,,,0.06966796517372131,,21
2,,,,0.0671679675579071,,22
2,,,,0.07289062440395355,,23
2,0.4215894341468811,0.31679150462150574,0.6299999952316284,,0.10357421636581421,23
3,,,,0.06439453363418579,,24
3,,,,0.07210937142372131,,25
3,,,,0.06439453363418579,,26
3,,,,0.07071289420127869,,27
3,,,,0.0854199230670929,,28
3,,,,0.0646679699420929,,29
3,,,,0.06941406428813934,,30
3,,,,0.05830078199505806,,31
3,0.48779574036598206,0.3715226352214813,0.7099999785423279,,0.09242187440395355,31
4,,,,0.06407226622104645,,32
4,,,,0.06580077856779099,,33
4,,,,0.07149413973093033,,34
4,,,,0.07367187738418579,,35
4,,,,0.06193359196186066,,36
4,,,,0.06832031160593033,,37
4,,,,0.060185547918081284,,38
4,,,,0.06929687410593033,,39
4,0.4752405285835266,0.35467198491096497,0.7200000286102295,,0.08814453333616257,39
5,,,,0.056904297322034836,,40
5,,,,0.07618164271116257,,41
5,,,,0.07195312529802322,,42
5,,,,0.07069335877895355,,43
5,,,,0.06793945282697678,,44
5,,,,0.06895507872104645,,45
5,,,,0.06477539241313934,,46
5,,,,0.05900390446186066,,47
5,0.48336800932884216,0.3719741702079773,0.6899999976158142,,0.08226562291383743,47
6,,,,0.06582031399011612,,48
6,,,,0.06592773646116257,,49
6,,,,0.07612304389476776,,50
6,,,,0.06425781548023224,,51
6,,,,0.06749023497104645,,52
6,,,,0.06075195223093033,,53
6,,,,0.057880859822034836,,54
6,,,,0.06557617336511612,,55
6,0.5403030514717102,0.4222450256347656,0.75,,0.07715820521116257,55
7,,,,0.07066406309604645,,56
7,,,,0.062128905206918716,,57
7,,,,0.057148437947034836,,58
7,,,,0.06882812827825546,,59
7,,,,0.05975585803389549,,60
7,,,,0.08511719107627869,,61
7,,,,0.0673828125,,62
7,,,,0.0664355456829071,,63
7,0.5793009400367737,0.460747629404068,0.7799999713897705,,0.07407226413488388,63
8,,,,0.06931640952825546,,64
8,,,,0.06553710997104645,,65
8,,,,0.06609375029802322,,66
8,,,,0.07391601800918579,,67
8,,,,0.053642578423023224,,68
8,,,,0.06599609553813934,,69
8,,,,0.06934570521116257,,70
8,,,,0.057841796427965164,,71
8,0.5554425120353699,0.46480122208595276,0.6899999976158142,,0.07477539032697678,71
9,,,,0.06328125298023224,,72
9,,,,0.06736328452825546,,73
9,,,,0.06888671964406967,,74
9,,,,0.05958007648587227,,75
9,,,,0.07395508140325546,,76
9,,,,0.06656250357627869,,77
9,,,,0.06123046949505806,,78
